Linux 3.10.0-957.21.3.el7.x86_64 (X05) 	05/26/2020 	_x86_64_	(88 CPU)

06:05:49 PM   UID       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
06:06:09 PM  8903     49400  71967.15      0.00 41093472 36893180   6.99  rsession
06:06:29 PM  8903     49400  46389.45      0.00 42917516 38717096   7.33  rsession
06:06:49 PM  8903     49400  47547.10      0.00 42917516 38717096   7.33  rsession
06:07:09 PM  8903     49400  28385.70      0.00 42917516 38717096   7.33  rsession
06:07:29 PM  8903     49400  68625.15      0.00 44665340 40419684   7.65  rsession
06:07:49 PM  8903     49400 123269.15      0.00 51936472 47717376   9.04  rsession
06:08:09 PM  8903     49400 115827.50      0.00 52433180 44801308   8.48  rsession
06:08:29 PM  8903     49400 109309.90      0.00 52237860 45594560   8.63  rsession
06:08:49 PM  8903     49400 208536.65      0.00 60957940 55530076  10.52  rsession
06:09:09 PM  8903     49400  70149.70      0.00 65317980 61117684  11.57  rsession
06:09:29 PM  8903     49400  56716.45      0.00 56597900 48454884   9.18  rsession
06:09:49 PM  8903     49400 130182.10      0.00 60957940 52780328   9.99  rsession
06:10:09 PM  8903     49400 121008.70      0.00 65317980 57859264  10.96  rsession
06:10:29 PM  8903     49400 102860.35      0.00 69678020 63584868  12.04  rsession
06:10:49 PM  8903     49400 114010.50      0.00 65317980 59808140  11.33  rsession
06:11:09 PM  8903     49400  83544.40      0.00 69678020 65477704  12.40  rsession
06:11:29 PM  8903     49400 126103.80      0.00 56597900 52397584   9.92  rsession
06:11:49 PM  8903     49400  83776.50      0.00 60957940 56757624  10.75  rsession
06:12:09 PM  8903     49400  88577.35      0.00 65317980 58413696  11.06  rsession
06:12:29 PM  8903     49400 101170.35      0.00 56597900 52397584   9.92  rsession
06:12:49 PM  8903     49400 104185.50      0.00 60957940 55727592  10.55  rsession
06:13:09 PM  8903     49400 114684.15      0.00 65317980 61117664  11.57  rsession
06:13:29 PM  8903     49400  97955.30      0.00 65317980 57233904  10.84  rsession
06:13:49 PM  8903     49400 113954.55      0.00 56597900 49534484   9.38  rsession
06:14:09 PM  8903     49400 122755.50      0.00 60957940 55757612  10.56  rsession
06:14:29 PM  8903     49400  87134.00      0.00 65317980 61117664  11.57  rsession
06:14:49 PM  8903     49400  88555.80      0.00 60957940 56757624  10.75  rsession
06:15:09 PM  8903     49400  65275.45      0.00 65317980 60157856  11.39  rsession
06:15:29 PM  8903     49400 131013.40      0.00 56597900 51133628   9.68  rsession
06:15:49 PM  8903     49400 122557.95      0.00 60957940 54327892  10.29  rsession
06:16:09 PM  8903     49400  80175.10      0.00 65317980 60564620  11.47  rsession
06:16:29 PM  8903     49400 121094.10      0.00 51768688 47296896   8.96  rsession
06:16:49 PM  8903     49400  68657.40      0.00 60488768 52630308   9.97  rsession
06:17:09 PM  8903     49400  82173.10      0.00 60488768 56288452  10.66  rsession
06:17:29 PM  8903     49400 115336.95      0.00 64848808 60648492  11.48  rsession
06:17:49 PM  8903     49400  66403.25      0.00 69208848 65008532  12.31  rsession
06:18:09 PM  8903     49400  86697.70      0.00 56128728 49610000   9.39  rsession
06:18:29 PM  8903     49400 112892.10      0.00 60488768 55560880  10.52  rsession
06:18:49 PM  8903     49400  72803.30      0.00 69208848 60803748  11.51  rsession
06:19:09 PM  8903     49400 120298.20      0.00 60488768 53079680  10.05  rsession
06:19:29 PM  8903     49400  90550.85      0.00 64848808 60056652  11.37  rsession
06:19:49 PM  8903     49400 133124.85      0.00 69208848 65008532  12.31  rsession
06:20:09 PM  8903     49400  72076.80      0.00 51768688 47568372   9.01  rsession
06:20:29 PM  8903     49400 124900.40      0.00 60488768 52942360  10.03  rsession
06:20:49 PM  8903     49400 145916.60      0.00 64848808 57996240  10.98  rsession
06:21:09 PM  8903     49400 108775.15      0.00 69208848 63835524  12.09  rsession
06:21:29 PM  8903     49400 132516.95      0.00 56128728 51390248   9.73  rsession
06:21:49 PM  8903     49400  87097.85      0.00 60488768 56288452  10.66  rsession
06:22:09 PM  8903     49400 138178.00      0.00 64848808 60388812  11.44  rsession
06:22:29 PM  8903     49400  72911.39      0.00 69208848 65008532  12.31  rsession
06:22:49 PM  8903     49400 137938.30      0.00 60488768 56241284  10.65  rsession
06:23:09 PM  8903     49400  80200.70      0.00 69208848 60878300  11.53  rsession
06:23:29 PM  8903     49400  86139.75      0.00 51768688 44255904   8.38  rsession
06:23:49 PM  8903     49400 171463.50      0.00 56128728 50218496   9.51  rsession
06:24:09 PM  8903     49400  79132.40      0.00 60488768 56288452  10.66  rsession
06:24:29 PM  8903     49400 129246.80      0.00 64848808 59743068  11.31  rsession
06:24:49 PM  8903     49400  83518.85      0.00 69208848 64798828  12.27  rsession
06:25:09 PM  8903     49400 142920.85      0.00 56128728 51137096   9.68  rsession
06:25:29 PM  8903     49400 106822.75      0.00 60488768 56288452  10.66  rsession
06:25:49 PM  8903     49400 120687.55      0.00 69208848 61598968  11.66  rsession
06:26:09 PM  8903     49400 107148.30      0.00 60488768 54075772  10.24  rsession
06:26:29 PM  8903     49400 101044.20      0.00 64848808 59814968  11.33  rsession
06:26:49 PM  8903     49400 150761.85      0.00 69208848 65008532  12.31  rsession
06:27:09 PM  8903     49400  94901.95      0.00 56128728 48999668   9.28  rsession
06:27:29 PM  8903     49400 126066.65      0.00 60488768 55375224  10.49  rsession
06:27:49 PM  8903     49400 155878.60      0.00 64848808 60194560  11.40  rsession
06:28:09 PM  8903     49400 129879.30      0.00 56128728 48011064   9.09  rsession
06:28:29 PM  8903     49400 135308.05      0.00 60488768 54621012  10.34  rsession
06:28:49 PM  8903     49400 165247.70      0.00 64848808 60648492  11.48  rsession
06:29:09 PM  8903     49400 107851.05      0.00 60488768 53761244  10.18  rsession
06:29:29 PM  8903     49400 127291.35      0.00 64848808 60030336  11.37  rsession
06:29:49 PM  8903     49400  76826.10      0.00 51768688 43324876   8.20  rsession
06:30:09 PM  8903     49400 132517.05      0.00 56128728 48899200   9.26  rsession
06:30:29 PM  8903     49400 161881.75      0.00 60488768 55459192  10.50  rsession
06:30:49 PM  8903     49400  77713.10      0.00 69208848 60711196  11.50  rsession
06:31:09 PM  8903     49400 108523.40      0.00 56128728 48280228   9.14  rsession
