GENE	symbol	PATHWAY	NAME
10327	AKR1A1	hsa00010	Glycolysis / Gluconeogenesis
10327	AKR1A1	hsa00040	Pentose and glucuronate interconversions
10327	AKR1A1	hsa00561	Glycerolipid metabolism
10327	AKR1A1	hsa01100	Metabolic pathways
124	ADH1A	hsa00010	Glycolysis / Gluconeogenesis
124	ADH1A	hsa00071	Fatty acid degradation
124	ADH1A	hsa00350	Tyrosine metabolism
124	ADH1A	hsa00830	Retinol metabolism
124	ADH1A	hsa00980	Metabolism of xenobiotics by cytochrome P450
124	ADH1A	hsa00982	Drug metabolism - cytochrome P450
124	ADH1A	hsa01100	Metabolic pathways
124	ADH1A	hsa05204	Chemical carcinogenesis
125	ADH1B	hsa00010	Glycolysis / Gluconeogenesis
125	ADH1B	hsa00071	Fatty acid degradation
125	ADH1B	hsa00350	Tyrosine metabolism
125	ADH1B	hsa00830	Retinol metabolism
125	ADH1B	hsa00980	Metabolism of xenobiotics by cytochrome P450
125	ADH1B	hsa00982	Drug metabolism - cytochrome P450
125	ADH1B	hsa01100	Metabolic pathways
125	ADH1B	hsa05204	Chemical carcinogenesis
126	ADH1C	hsa00010	Glycolysis / Gluconeogenesis
126	ADH1C	hsa00071	Fatty acid degradation
126	ADH1C	hsa00350	Tyrosine metabolism
126	ADH1C	hsa00830	Retinol metabolism
126	ADH1C	hsa00980	Metabolism of xenobiotics by cytochrome P450
126	ADH1C	hsa00982	Drug metabolism - cytochrome P450
126	ADH1C	hsa01100	Metabolic pathways
126	ADH1C	hsa05204	Chemical carcinogenesis
127	ADH4	hsa00010	Glycolysis / Gluconeogenesis
127	ADH4	hsa00071	Fatty acid degradation
127	ADH4	hsa00350	Tyrosine metabolism
127	ADH4	hsa00830	Retinol metabolism
127	ADH4	hsa00980	Metabolism of xenobiotics by cytochrome P450
127	ADH4	hsa00982	Drug metabolism - cytochrome P450
127	ADH4	hsa01100	Metabolic pathways
127	ADH4	hsa05204	Chemical carcinogenesis
128	ADH5	hsa00010	Glycolysis / Gluconeogenesis
128	ADH5	hsa00071	Fatty acid degradation
128	ADH5	hsa00350	Tyrosine metabolism
128	ADH5	hsa00830	Retinol metabolism
128	ADH5	hsa00980	Metabolism of xenobiotics by cytochrome P450
128	ADH5	hsa00982	Drug metabolism - cytochrome P450
128	ADH5	hsa01100	Metabolic pathways
128	ADH5	hsa01200	Carbon metabolism
128	ADH5	hsa05204	Chemical carcinogenesis
130	ADH6	hsa00010	Glycolysis / Gluconeogenesis
130	ADH6	hsa00071	Fatty acid degradation
130	ADH6	hsa00350	Tyrosine metabolism
130	ADH6	hsa00830	Retinol metabolism
130	ADH6	hsa00980	Metabolism of xenobiotics by cytochrome P450
130	ADH6	hsa00982	Drug metabolism - cytochrome P450
130	ADH6	hsa01100	Metabolic pathways
130	ADH6	hsa05204	Chemical carcinogenesis
130589	GALM	hsa00010	Glycolysis / Gluconeogenesis
130589	GALM	hsa00052	Galactose metabolism
130589	GALM	hsa01100	Metabolic pathways
131	ADH7	hsa00010	Glycolysis / Gluconeogenesis
131	ADH7	hsa00071	Fatty acid degradation
131	ADH7	hsa00350	Tyrosine metabolism
131	ADH7	hsa00830	Retinol metabolism
131	ADH7	hsa00980	Metabolism of xenobiotics by cytochrome P450
131	ADH7	hsa00982	Drug metabolism - cytochrome P450
131	ADH7	hsa01100	Metabolic pathways
131	ADH7	hsa05204	Chemical carcinogenesis
160287	LDHAL6A	hsa00010	Glycolysis / Gluconeogenesis
160287	LDHAL6A	hsa00270	Cysteine and methionine metabolism
160287	LDHAL6A	hsa00620	Pyruvate metabolism
160287	LDHAL6A	hsa00640	Propanoate metabolism
160287	LDHAL6A	hsa01100	Metabolic pathways
160287	LDHAL6A	hsa04066	HIF-1 signaling pathway
160287	LDHAL6A	hsa04922	Glucagon signaling pathway
160287	LDHAL6A	hsa05230	Central carbon metabolism in cancer
1737	DLAT	hsa00010	Glycolysis / Gluconeogenesis
